name,description,platforms,technique_id,technique_name
DA_Linux_Clear_Command_History,"title: Clear Command History
id: fdc88d25-96fb-4b7c-9633-c0e417fdbd4e
status: test
description: Clear command history in linux which is used for defense evasion.
references:
    - https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1070.003/T1070.003.md
    - https://www.hackers-arise.com/post/2016/06/20/covering-your-bash-shell-tracks-antiforensics
author: Patrick Bareiss
date: 2019/03/24
modified: 2022/12/25
tags:
    - attack.defense_evasion
    - attack.t1070.003
# Example config for this one (place it in .bash_profile):
#  (is_empty=false; inotifywait -m .bash_history | while read file; do if [ $(wc -l <.bash_history) -lt 1  ]; then if  [ ""$is_empty"" = false ]; then logger -i -p local5.info -t empty_bash_history ""$USER : ~/.bash_history is empty ""; is_empty=true; fi; else is_empty=false;  fi;  done ) &
#  It monitors the size of .bash_history and log the words ""empty_bash_history"" whenever a previously not empty bash_history becomes empty
#  We define an empty file as a document with 0 or 1 lines (it can be a line with only one space character for example)
#  It has two advantages over the version suggested by Patrick Bareiss  :
#    - it is not relative to the exact command used to clear .bash_history : for instance Caldera uses ""> .bash_history"" to clear the history and this is not one the commands listed here. We can't be exhaustive for all the possibilities !
#    - the method suggested by Patrick Bareiss logs all the commands entered directly in a bash shell. therefore it may miss some events (for instance it doesn't log the commands launched from a Caldera agent). Here if .bash_history is cleared, it will always be detected
logsource:
    product: linux
detection:
    keywords:
        - 'rm *bash_history'
        - 'echo """" > *bash_history'
        - 'cat /dev/null > *bash_history'
        - 'cat /dev/zero > *bash_history'
        - 'ln -sf /dev/null *bash_history'
        - 'ln -sf /dev/zero *bash_history'
        - 'truncate -s0 *bash_history'
        # - 'unset HISTFILE'  # prone to false positives
        - 'export HISTFILESIZE=0'
        - 'history -c'
        - 'history -w'
        - 'shred *bash_history'
        - 'empty_bash_history'
        - 'chattr +i *bash_history'
    condition: keywords
falsepositives:
    - Unknown
level: high",linux,,
Group Policy Script Creation ps1,Detects the creation of a group policy script which can be used for persistence by an attacker.,windows,T1037,Boot or Logon Initialization Scripts
Group Policy Script Creation ps1,Detects the creation of a group policy script which can be used for persistence by an attacker.,windows,T1037.003,Logon Scripts Mitigation: Network Logon Script
File_Create_Wipe_Tmp_ShinySp1d3r," ""Detects creation of files named wipe-*.tmp anywhere on the system.""","mac,windows",,
DE_AADInternals,"detects AADInternals. AAD Internals is a PowerShell module where I’ve tried to put all the knowledge I’ve gained during the years spent with Office 365 and Azure AD. It is a result of hours of reverse-engineering and debugging of Microsoft tools related to Azure AD, such as PowerShell modules, directory synchronisation, and admin portals.

The module is a plain PowerShell script module, so you can copy and paste the code to your own scripts as needed. Having said that, the are some functions that are utilising the built-in functionality of Windows. Thus, everything might not work on every computer.",windows,,
Bitlocker Tamper Manage BDE Off,Detects potential tampering with Bitlocker on a system.,windows,T1562,Impair Defenses
Bitlocker Tamper Manage BDE Off,Detects potential tampering with Bitlocker on a system.,windows,T1562.001,Impair Defenses: Disable or Modify Tools
DE_MacOS_Disable_SecProducts,"Detection of the disabling or stopping of launchctl process related to security products at Acme.
","linux,mac",,
Bitlocker Tamper Manage BDE Pause,Detects potential tampering with Bitlocker on a system.,windows,T1562,Impair Defenses
Bitlocker Tamper Manage BDE Pause,Detects potential tampering with Bitlocker on a system.,windows,T1562.001,Impair Defenses: Disable or Modify Tools
DE_ESXiGroupAddition,,windows,,
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1003,OS Credential Dumping
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1003.001,Credential Dumping Mitigation: LSASS Memory
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1003.002,Credential Dumping Mitigation: Security Account Manager
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1003.004,Credential Dumping Mitigation: LSA Secrets
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1003.005,Credential Dumping Mitigation: Cached Domain Credentials
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1059,Command and Scripting Interpreter
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1098,Account Manipulation
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1134,Access Token Manipulation
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1134.005,Access Token Manipulation Mitigation: SID-History Injection
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1207,Rogue Domain Controller
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1212,Exploitation for Credential Access
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1547,Boot or Logon Autostart Execution
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1547.005,Boot or Logon Autostart Execution: Security Support Provider
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1550,Use Alternate Authentication Material
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1550.002,Use Alternate Authentication Material: Pass the Hash
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1550.003,Use Alternate Authentication Material: Pass the Ticket
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1552,Unsecured Credentials
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1552.001,Unsecured Credentials: Credentials In Files
Mimikatz Command Arguments,Detects command line arguments commonly supplied to the Mimikatz credential theft utility when executed in non-interactive mode.,windows,T1552.004,Unsecured Credentials: Private Keys
Bitlocker Tamper Manage BDE Protectors Delete,Detects potential tampering with Bitlocker on a system.,windows,T1562,Impair Defenses
Bitlocker Tamper Manage BDE Protectors Delete,Detects potential tampering with Bitlocker on a system.,windows,T1562.001,Impair Defenses: Disable or Modify Tools
Bitlocker Tamper Manage BDE Protectors Disable,Detects potential tampering with Bitlocker on a system.,windows,T1562,Impair Defenses
Bitlocker Tamper Manage BDE Protectors Disable,Detects potential tampering with Bitlocker on a system.,windows,T1562.001,Impair Defenses: Disable or Modify Tools
PowerShell Command Line iwr,Detects execution of the PowerShell script interpreter with the iwr abbreviation for the WebRequest argument. This can be used to retrieve remote malicious code.,windows,T1059,Command and Scripting Interpreter
PowerShell Command Line iwr,Detects execution of the PowerShell script interpreter with the iwr abbreviation for the WebRequest argument. This can be used to retrieve remote malicious code.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
PowerShell Command Line iwr,Detects execution of the PowerShell script interpreter with the iwr abbreviation for the WebRequest argument. This can be used to retrieve remote malicious code.,windows,T1105,Ingress Tool Transfer
Graph Spawned Process Creating BAT Files,Detects the creation of BAT files by Graph or a descendent process which may be a sign of attack activity.,windows,T1059,Command and Scripting Interpreter
Graph Spawned Process Creating BAT Files,Detects the creation of BAT files by Graph or a descendent process which may be a sign of attack activity.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Graph Spawned Process Creating BAT Files,Detects the creation of BAT files by Graph or a descendent process which may be a sign of attack activity.,windows,T1204,User Execution
Graph Spawned Process Creating BAT Files,Detects the creation of BAT files by Graph or a descendent process which may be a sign of attack activity.,windows,T1204.002,User Execution Mitigation: Malicious File
DE_PowershellSafeboot,"Throughout 2023, SCATTERED SPIDER used the Windows utility bcdedit to configure Windows to start in safe mode with networking enabled and then issue the shutdown command. This is often performed by executing the following PS command",windows,,
Bitlocker Tamper Remove BitLockerKeyProtector,Detects potential tampering with Bitlocker on a system.,windows,T1562,Impair Defenses
Bitlocker Tamper Remove BitLockerKeyProtector,Detects potential tampering with Bitlocker on a system.,windows,T1562.001,Impair Defenses: Disable or Modify Tools
DE_RAS_ParsecUsage,Detection of the remote access tool Parsec,windows,,
PowerShell with PowerPoint Ancestry,Detects execution of the PowerShell script interpreter where an ancestral process is unusual or suspicious. This can be a sign of attacker activity but should be tuned for known scripts or internal processes.,windows,T1218,System Binary Proxy Execution
PowerShell with PowerPoint Ancestry,Detects execution of the PowerShell script interpreter where an ancestral process is unusual or suspicious. This can be a sign of attacker activity but should be tuned for known scripts or internal processes.,windows,T1059,Command and Scripting Interpreter
PowerShell with PowerPoint Ancestry,Detects execution of the PowerShell script interpreter where an ancestral process is unusual or suspicious. This can be a sign of attacker activity but should be tuned for known scripts or internal processes.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
Bitlocker Tamper Suspend Bitlocker,Detects potential tampering with Bitlocker on a system.,windows,T1562,Impair Defenses
Bitlocker Tamper Suspend Bitlocker,Detects potential tampering with Bitlocker on a system.,windows,T1562.001,Impair Defenses: Disable or Modify Tools
DE_Possible_CVE-2025-33053,This Signal detects possible CVE-2025-33053 exploitations in Windows,windows,T1574,Hijack Execution Flow
Unsigned Process Creating a PowerShell Script,"Detects an unsigned process creating a PowerShell script file, which may be a sign of attack activity.",windows,T1036,Masquerading
Unsigned Process Creating a PowerShell Script,"Detects an unsigned process creating a PowerShell script file, which may be a sign of attack activity.",windows,T1036.001,Masquerading Mitigation: Invalid Code Signature
Unsigned Process Creating a PowerShell Script,"Detects an unsigned process creating a PowerShell script file, which may be a sign of attack activity.",windows,T1059,Command and Scripting Interpreter
Unsigned Process Creating a PowerShell Script,"Detects an unsigned process creating a PowerShell script file, which may be a sign of attack activity.",windows,T1059.001,Command and Scripting Interpreter: PowerShell
Cipher Wiping Free Disk Space,"Detects usage of the cipher.exe to wipe free disk space. This can be used by an attacker to permanently remove remnants of files they deleted, inhibiting investigations.",windows,T1070,Indicator Removal
Cipher Wiping Free Disk Space,"Detects usage of the cipher.exe to wipe free disk space. This can be used by an attacker to permanently remove remnants of files they deleted, inhibiting investigations.",windows,T1070.004,Indicator Removal on Host Mitigation: File Deletion
Cipher Wiping Free Disk Space,"Detects usage of the cipher.exe to wipe free disk space. This can be used by an attacker to permanently remove remnants of files they deleted, inhibiting investigations.",windows,T1059,Command and Scripting Interpreter
Cipher Wiping Free Disk Space,"Detects usage of the cipher.exe to wipe free disk space. This can be used by an attacker to permanently remove remnants of files they deleted, inhibiting investigations.",windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Cipher Wiping Free Disk Space,"Detects usage of the cipher.exe to wipe free disk space. This can be used by an attacker to permanently remove remnants of files they deleted, inhibiting investigations.",windows,T1485,Data Destruction
DE_Tunnel_Stunnel,"Detection on the usage of STunnel, which is used to create TLS encrypted wrapper between remove/local clients. Can also be used to add TLS to non TLS inetd daemons (POP2, POP3, IMAP) without changing the source code.

connection information is obtained via configuration files written on disk.","linux,mac,windows",,
Microsoft Workflow Compiler with CMD Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1027,Obfuscated Files or Information
Microsoft Workflow Compiler with CMD Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1027.004,Obfuscated Files or Information: Compile After Delivery
Microsoft Workflow Compiler with CMD Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1127,Trusted Developer Utilities Proxy Execution
Microsoft Workflow Compiler with CMD Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1059,Command and Scripting Interpreter
Microsoft Workflow Compiler with CMD Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1003,OS Credential Dumping
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1003.001,Credential Dumping Mitigation: LSASS Memory
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1003.002,Credential Dumping Mitigation: Security Account Manager
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1003.004,Credential Dumping Mitigation: LSA Secrets
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1003.005,Credential Dumping Mitigation: Cached Domain Credentials
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1098,Account Manipulation
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1134,Access Token Manipulation
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1134.005,Access Token Manipulation Mitigation: SID-History Injection
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1207,Rogue Domain Controller
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1212,Exploitation for Credential Access
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1547,Boot or Logon Autostart Execution
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1547.005,Boot or Logon Autostart Execution: Security Support Provider
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1550,Use Alternate Authentication Material
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1550.002,Use Alternate Authentication Material: Pass the Hash
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1550.003,Use Alternate Authentication Material: Pass the Ticket
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1552,Unsecured Credentials
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1552.001,Unsecured Credentials: Credentials In Files
Mimikatz Service Driver Entry in Registry,Detects the creation of the mimidrv registry key that is associated with the mimikatz driver that can be loaded as a part of the service. This registry key is removed when the service unloads the driver.,windows,T1552.004,Unsecured Credentials: Private Keys
RunDll Creating MiniDump,Detects the execution of RunDll32 when used to create a process minidump. This can be used by attackers to image lsass memory that contains credentials as well as other processes memory that contains sensitive data of value.,windows,T1003,OS Credential Dumping
RunDll Creating MiniDump,Detects the execution of RunDll32 when used to create a process minidump. This can be used by attackers to image lsass memory that contains credentials as well as other processes memory that contains sensitive data of value.,windows,T1003.001,Credential Dumping Mitigation: LSASS Memory
RunDll Creating MiniDump,Detects the execution of RunDll32 when used to create a process minidump. This can be used by attackers to image lsass memory that contains credentials as well as other processes memory that contains sensitive data of value.,windows,T1218,System Binary Proxy Execution
RunDll Creating MiniDump,Detects the execution of RunDll32 when used to create a process minidump. This can be used by attackers to image lsass memory that contains credentials as well as other processes memory that contains sensitive data of value.,windows,T1218.011,System Binary Proxy Execution: Rundll32
RunDll Creating MiniDump,Detects the execution of RunDll32 when used to create a process minidump. This can be used by attackers to image lsass memory that contains credentials as well as other processes memory that contains sensitive data of value.,windows,T1059,Command and Scripting Interpreter
RunDll Creating MiniDump,Detects the execution of RunDll32 when used to create a process minidump. This can be used by attackers to image lsass memory that contains credentials as well as other processes memory that contains sensitive data of value.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
PowerShell ConsoleHost History Deletion,Detects deletion of the PowerShell consolehost_history file that may be related to attacker activity removal.,windows,T1070,Indicator Removal
PowerShell ConsoleHost History Deletion,Detects deletion of the PowerShell consolehost_history file that may be related to attacker activity removal.,windows,T1070.004,Indicator Removal on Host Mitigation: File Deletion
Microsoft Workflow Compiler with Microsoft.VisualStudio.Web.Host Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1027,Obfuscated Files or Information
Microsoft Workflow Compiler with Microsoft.VisualStudio.Web.Host Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1027.004,Obfuscated Files or Information: Compile After Delivery
Microsoft Workflow Compiler with Microsoft.VisualStudio.Web.Host Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1127,Trusted Developer Utilities Proxy Execution
"Microsoft Workflow Compiler Misuse Duplicate 8/27/2025, 10:26:30 AM",Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1027,Obfuscated Files or Information
"Microsoft Workflow Compiler Misuse Duplicate 8/27/2025, 10:26:30 AM",Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1027.004,Obfuscated Files or Information: Compile After Delivery
"Microsoft Workflow Compiler Misuse Duplicate 8/27/2025, 10:26:30 AM",Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1127,Trusted Developer Utilities Proxy Execution
"Microsoft Workflow Compiler Misuse Duplicate 8/27/2025, 10:26:30 AM",Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1059,Command and Scripting Interpreter
"Microsoft Workflow Compiler Misuse Duplicate 8/27/2025, 10:26:30 AM",Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
DE_ScoutSuite,"Detect the use of the Scout Suite, 
Scout Suite is an open source multi-cloud security-auditing tool, which enables security posture assessment of cloud environments. Using the APIs exposed by cloud providers, Scout Suite gathers configuration data for manual inspection and highlights risk areas. Rather than going through dozens of pages on the web consoles, Scout Suite presents a clear view of the attack surface automatically","mac,windows",,
DE_RAS_RocketRemoteDesktop,detects the intallation and use of the Rocket Remote Desktop ,windows,,
DE_Impacket_WMIexec,"his detection analytic uses a regular expression to identify commands from the Impacket wmiexec script, which allows a semi-interactive shell used via WMI. This analytic shows output being redirected to the localhost ADMIN$ share. The regular expression identifies an output file named as a Unix timestamp (similar to 1642629756.323274) generated through the script.",windows,,
NET CLR Artifact Wscript,Detects potential artifacts of CSharp injection that can be utilized by attackers with tools such as sharpshooter.,windows,T1055,Process Injection
NET CLR Artifact Wscript,Detects potential artifacts of CSharp injection that can be utilized by attackers with tools such as sharpshooter.,windows,T1055.001,Process Injection: Dynamic-link Library Injection
NET CLR Artifact Wscript,Detects potential artifacts of CSharp injection that can be utilized by attackers with tools such as sharpshooter.,windows,T1129,Shared Modules
Microsoft Workflow Compiler with PWSH Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1027,Obfuscated Files or Information
Microsoft Workflow Compiler with PWSH Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1027.004,Obfuscated Files or Information: Compile After Delivery
Microsoft Workflow Compiler with PWSH Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1127,Trusted Developer Utilities Proxy Execution
Microsoft Workflow Compiler with PWSH Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1059,Command and Scripting Interpreter
Microsoft Workflow Compiler with PWSH Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
Service Linux Firewall Disabled,Detects use of the Linux service to disable the systems firewall.,linux,T1562,Impair Defenses
Service Linux Firewall Disabled,Detects use of the Linux service to disable the systems firewall.,linux,T1562.004,Impair Defenses: Disable or Modify System Firewall
Service Linux Firewall Disabled,Detects use of the Linux service to disable the systems firewall.,linux,T1059,Command and Scripting Interpreter
Service Linux Firewall Disabled,Detects use of the Linux service to disable the systems firewall.,linux,T1059.004,Command and Scripting Interpreter: Unix Shell
Outlook Spawned Rundll32,Detects the execution of rundll32.exe as a descendent process of Outlook which may be a sign of attack activity.,windows,T1059,Command and Scripting Interpreter
Outlook Spawned Rundll32,Detects the execution of rundll32.exe as a descendent process of Outlook which may be a sign of attack activity.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Microsoft Workflow Compiler with PowerShell Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1027,Obfuscated Files or Information
Microsoft Workflow Compiler with PowerShell Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1027.004,Obfuscated Files or Information: Compile After Delivery
Microsoft Workflow Compiler with PowerShell Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1127,Trusted Developer Utilities Proxy Execution
Microsoft Workflow Compiler with PowerShell Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1059,Command and Scripting Interpreter
Microsoft Workflow Compiler with PowerShell Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
DE_RAS_Domotz_Usage,"Detection on the RMM software Domotz, which has a free version.",windows,,
Non-Ssms Spawned SQL Client Tools PowerShell Session,Detects the potential misuse of a SQL client tools PowerShell session where smss is not the parent. This is a known attacker living off the land technique.,windows,T1218,System Binary Proxy Execution
Non-Ssms Spawned SQL Client Tools PowerShell Session,Detects the potential misuse of a SQL client tools PowerShell session where smss is not the parent. This is a known attacker living off the land technique.,windows,T1059,Command and Scripting Interpreter
Non-Ssms Spawned SQL Client Tools PowerShell Session,Detects the potential misuse of a SQL client tools PowerShell session where smss is not the parent. This is a known attacker living off the land technique.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
Microsoft Workflow Compiler with mscorsvw Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1027,Obfuscated Files or Information
Microsoft Workflow Compiler with mscorsvw Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1027.004,Obfuscated Files or Information: Compile After Delivery
Microsoft Workflow Compiler with mscorsvw Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1127,Trusted Developer Utilities Proxy Execution
Microsoft Workflow Compiler with w3wp Ancestry,Detects the misuse of Microsoft Workflow Compiler for injecting and executing unsigned code.,windows,T1027,Obfuscated Files or Information
